,address,city,state,zip
225274,4932 a st se  unit: 201,Washington,DC,
195907,2910 12th st ne,Washington,DC,
73340,537 3rd st ne,Washington,DC,
196503,5012 sargent rd ne,Washington,DC,
116468,nw,Washington,DC,
27693,912 f st nw  unit: 305,Washington,DC,
195721,2414  10th st ne,Washington,DC,
206098,3610  fort lincoln dr ne,Washington,DC,
23859,h st nw,Washington,DC,
232800,1817 24th pl se  unit: 202,Washington,DC,
128482,3883 connecticut av,Washington,DC,
37095,d st nw,Washington,DC,
200530,16th st ne,Washington,DC,
139898,3883 connecticut av,Washington,DC,
23216,h st nw,Washington,DC,
67466,h st nw,Washington,DC,
157762,4713 colorado ave nw,Washington,DC,
22231,1117 10th st nw  unit: 206,Washington,DC,
147295,3883 connecticut av,Washington,DC,
29472,0400 8th st nw,Washington,DC,
7417,1601 18th st nw  unit: 201,Washington,DC,
185378,418 allison st nw,Washington,DC,
238710,se,Washington,DC,
93136,2500 q st nw 0p-122,Washington,DC,
223289,ne,Washington,DC,
38306,1541 6th st nw,Washington,DC,
66211,h st nw,Washington,DC,
183247,nw,Washington,DC,
65111,0056 new york av nw,Washington,DC,
142421,3883 connecticut av,Washington,DC,
35304,0400 8th st nw,Washington,DC,
147192,3883 connecticut av,Washington,DC,
195711,720 rhode island ave ne,Washington,DC,
72575,201 e st se  unit: 2,Washington,DC,
12538,1401 q st nw p-31,Washington,DC,
31764,0400 8th st nw,Washington,DC,
82335,1323 linden ct ne,Washington,DC,
77453,716 h st ne,Washington,DC,
132996,3883 connecticut av,Washington,DC,
152437,1841 kalorama rd nw  unit: 1,Washington,DC,
97988,4570 macarthur blvd nw  unit: 102,Washington,DC,
44690,0555 massachusetts av,Washington,DC,
249347,33rd st se,Washington,DC,
222282,0333 54th st ne,Washington,DC,
36470,1634 6th st nw  unit: 2,Washington,DC,
104153,4319 albemarle st nw,Washington,DC,
238840,w st se,Washington,DC,
189004,2705 north capitol st ne,Washington,DC,
41682,0555 massachusetts av,Washington,DC,
39565,0555 massachusetts av,Washington,DC,
117371,2818 connecticut av,Washington,DC,
22334,1117 10th st nw  unit: 1007,Washington,DC,
184135,5726 6th st nw,Washington,DC,
171414,1208 quincy st nw,Washington,DC,
42890,0555 massachusetts av,Washington,DC,
163151,1860 redwood ter nw,Washington,DC,
187645,6424 2nd pl nw,Washington,DC,
57951,1425 4th st sw unit: p71,Washington,DC,
59804,460 l st nw g3-249,Washington,DC,
93140,2500 q st nw  unit: 509,Washington,DC,
70826,1st st se,Washington,DC,
118900,2643-2647 connecticut av,Washington,DC,
25801,h st nw,Washington,DC,
32078,0400 8th st nw,Washington,DC,
98143,4471 salem ln nw,Washington,DC,
187283,248 gallatin st nw,Washington,DC,
18560,1220 n st nw  unit: 2b,Washington,DC,
80908,0254 11th st se,Washington,DC,
179163,626 columbia rd nw,Washington,DC,
205872,2526 ralph ellison way ne,Washington,DC,
80245,0217 11th st se,Washington,DC,
74335,410 k st ne,Washington,DC,
74896,4th st se,Washington,DC,
57645,0452 m st sw unit: 2,Washington,DC,
233444,se,Washington,DC,
151082,1910 kalorama rd nw  unit: 501,Washington,DC,
154935,2627 adams mill rd nw unit: p3,Washington,DC,
46582,0555 massachusetts av,Washington,DC,
33755,0400 8th st nw,Washington,DC,
166415,1360 meridian pl nw,Washington,DC,
106691,5303 reno rd nw,Washington,DC,
248662,ne,Washington,DC,
206068,3621  commodore joshua barney dr ne,Washington,DC,
235592,2102 suitland ter se  unit: 102,Washington,DC,
218214,49th st ne,Washington,DC,
21787,942 p st nw,Washington,DC,
16017,1312 massachusetts ave nw  unit: 807,Washington,DC,
12685,1440 church st nw  unit: 606,Washington,DC,
105753,4301 massachusetts ave nw  unit: 2001,Washington,DC,
30337,0400 8th st nw,Washington,DC,
42185,0555 massachusetts av,Washington,DC,
218100,5001 - 5003 hunt st ne,Washington,DC,
245597,123 upsal st se,Washington,DC,
153849,1638 beekman pl nw  unit: a,Washington,DC,
51513,0555 massachusetts av,Washington,DC,
121316,3883 connecticut av,Washington,DC,
69284,h st nw,Washington,DC,
115265,2939 van ness st nw  unit: 1042,Washington,DC,
37092,d st nw,Washington,DC,
154423,2901 16th st nw  unit: 304,Washington,DC,
91773,wisconsin av nw,Washington,DC,
218488,4927 fitch pl ne,Washington,DC,
137925,3883 connecticut av,Washington,DC,
150975,2012  kalorama rd nw p-2,Washington,DC,
117186,nw,Washington,DC,
12856,1401 church st nw p-109,Washington,DC,
104411,western av nw,Washington,DC,
163161,1752 sycamore st nw,Washington,DC,
126288,3883 connecticut av,Washington,DC,
124247,3883 connecticut av,Washington,DC,
115423,2939 van ness st nw unit: 37,Washington,DC,
246717,0725 brandywine st,Washington,DC,
153585,nw,Washington,DC,
222856,0413 59th st ne,Washington,DC,
174784,1212 jefferson st nw,Washington,DC,
82658,ne,Washington,DC,
25006,925 h st nw 606,Washington,DC,
216814,meade st ne,Washington,DC,
138193,3883 connecticut av,Washington,DC,
159900,1417 newton st,Washington,DC,
38681,555 massachusetts ave nw  unit: 1409,Washington,DC,
169267,759 harvard st nw,Washington,DC,
197729,4430 13th pl ne,Washington,DC,
52038,0555 massachusetts av,Washington,DC,
54213,0555 massachusetts av,Washington,DC,
89351,3030 k st nw unit: p118,Washington,DC,
115304,2939 van ness st nw  unit: 601,Washington,DC,
27620,916 g st nw  unit: 204,Washington,DC,
95564,2050 37th st nw,Washington,DC,
182641,738 longfellow st nw  unit: 112,Washington,DC,
241398,2652 martin luther king jr ave se  unit: 218,Washington,DC,
225499,se,Washington,DC,
121453,3883 connecticut av,Washington,DC,
168561,1308 clifton st nw  unit: 117,Washington,DC,
106221,4750 41st st nw p-40,Washington,DC,
135355,3883 connecticut av,Washington,DC,
56827,0555 massachusetts av,Washington,DC,
1564,950 24th st nw  unit: 405,Washington,DC,
33943,0400 8th st nw,Washington,DC,
61572,350 g st sw  unit: n608,Washington,DC,
211520,dix st ne,Washington,DC,
22188,9th st nw,Washington,DC,
178073,747 quebec pl nw,Washington,DC,
137506,3883 connecticut av,Washington,DC,
48989,0555 massachusetts av,Washington,DC,
212062,brooks st ne,Washington,DC,
38126,s st nw,Washington,DC,
154128,2200 17th st nw g-58,Washington,DC,
136066,3883 connecticut av,Washington,DC,
33677,0400 8th st nw,Washington,DC,
72099,226 g st ne,Washington,DC,
71080,1225 1st st ne,Washington,DC,
23068,h st nw,Washington,DC,
133026,3883 connecticut av,Washington,DC,
167653,2825 11th st nw 2,Washington,DC,
137125,3883 connecticut av,Washington,DC,
30686,0400 8th st nw,Washington,DC,
144522,3883 connecticut av,Washington,DC,
144118,3883 connecticut av,Washington,DC,
28246,0400 8th st nw,Washington,DC,
97353,2406 44th st nw,Washington,DC,
78325,0623 8th st ne,Washington,DC,
26396,h st nw,Washington,DC,
79045,ne,Washington,DC,
110241,38th st nw,Washington,DC,
200031,1152 morse st ne,Washington,DC,
198965,ne,Washington,DC,
229903,1720 40th st se,Washington,DC,
30127,0400 8th st nw,Washington,DC,
23586,h st nw,Washington,DC,
23734,h st nw,Washington,DC,
204569,24th st ne,Washington,DC,
117127,nw,Washington,DC,
179692,nw,Washington,DC,
184070,532 oneida pl nw,Washington,DC,
114403,3226 quesada st nw,Washington,DC,
179978,227 rhode island ave nw,Washington,DC,
30981,0400 8th st nw,Washington,DC,
30237,0400 8th st nw,Washington,DC,
189587,37 t st ne,Washington,DC,
216589,1017 47th pl ne,Washington,DC,
100886,4830 davenport st nw,Washington,DC,
67891,h st nw,Washington,DC,
123446,3883 connecticut av,Washington,DC,
213459,minnesota av ne,Washington,DC,
31225,0400 8th st nw,Washington,DC,
99847,5024 cathedral ave nw,Washington,DC,
206644,channing st ne,Washington,DC,
5674,1825 t st nw  unit: 704,Washington,DC,
120125,3883 connecticut ave nw  unit: 309,Washington,DC,
110989,3650 upton st nw,Washington,DC,
37676,608 6th pl sw,Washington,DC,
138842,3883 connecticut av,Washington,DC,
156589,2027 park rd nw,Washington,DC,
245687,3864 halley tr se,Washington,DC,
72117,3rd st ne,Washington,DC,
140949,3883 connecticut av,Washington,DC,
237352,se,Washington,DC,
141604,3883 connecticut av,Washington,DC,
243950,alabama ave se,Washington,DC,
195571,9th st ne,Washington,DC,
28832,0400 8th st nw,Washington,DC,
32202,0400 8th st nw,Washington,DC,
117460,2818 connecticut av,Washington,DC,
48604,0555 massachusetts av,Washington,DC,
55863,0555 massachusetts av,Washington,DC,
117824,2818 connecticut av,Washington,DC,
96084,2018 tunlaw rd nw,Washington,DC,
140818,3883 connecticut av,Washington,DC,
11076,1629 16th st nw  unit: 2,Washington,DC,
129056,3883 connecticut av,Washington,DC,
200349,1159 morse st ne,Washington,DC,
146202,3883 connecticut av,Washington,DC,
213925,4404 ord st ne,Washington,DC,
108677,3891 newark st nw  unit: a481,Washington,DC,
205666,3314 banneker dr 03314,Washington,DC,
248647,ne,Washington,DC,
37029,675 e st nw,Washington,DC,
155716,1851 irving st nw,Washington,DC,
26009,h st nw,Washington,DC,
72194,0205 f st ne,Washington,DC,
226887,bowen rd se,Washington,DC,
10263,1401 17th st nw  unit: 608,Washington,DC,
54155,0555 massachusetts av,Washington,DC,
150863,2013 columbia rd nw  unit: c,Washington,DC,
78323,0619 8th st ne,Washington,DC,
98396,4764 reservoir rd nw,Washington,DC,
229816,3937 s st se  unit: 207,Washington,DC,
138997,3883 connecticut av,Washington,DC,
42285,0555 massachusetts av,Washington,DC,
108914,3801 porter st nw unit: 179,Washington,DC,
234481,31st st se,Washington,DC,
41554,0555 massachusetts av,Washington,DC,
143768,3883 connecticut av,Washington,DC,
236478,33rd st se,Washington,DC,
42949,0555 massachusetts av,Washington,DC,
71169,142 north carolina ave se,Washington,DC,
7726,1615 new hampshire av,Washington,DC,
237155,2850 hartford st se  unit: 203,Washington,DC,
165247,nw,Washington,DC,
27540,733 10th st nw,Washington,DC,
84089,1391 pennsylvania ave se  unit: 303,Washington,DC,
213028,0547 42nd st ne,Washington,DC,
143210,3883 connecticut av,Washington,DC,
